Site,datetime,GPP_daily,ER_daily,K600_daily
HAT,2019-02-23 00:00:00,-0.075495976,-4.502632766,4.284113176
HAT,2019-02-24 00:00:00,-0.029354463,-4.970259369,4.587967779
HAT,2019-02-25 00:00:00,-0.108007309,-2.879106304,3.450065228
HAT,2019-02-26 00:00:00,-0.067364034,-3.801670107,4.741486079
HAT,2019-02-27 00:00:00,-0.087304532,-3.697589148,4.55250704
HAT,2019-02-28 00:00:00,-0.139496989,-3.9818967,4.894463949
HAT,2019-03-01 00:00:00,-0.070199098,-2.030409887,2.242535653
HAT,2019-03-02 00:00:00,-0.00579862,-0.922721303,0.720911376
HAT,2019-03-03 00:00:00,0.016134574,-7.765000822,6.005689806
HAT,2019-03-04 00:00:00,-0.041727279,-6.549194791,5.098159142
HAT,2019-03-05 00:00:00,-0.013279372,-2.269533391,2.536273272
HAT,2019-03-06 00:00:00,-0.006175805,-3.823883701,4.728400831
HAT,2019-03-07 00:00:00,0.035254072,-4.618801408,6.160494875
HAT,2019-03-08 00:00:00,0.053673241,-4.65902233,6.076360235
HAT,2019-03-10 00:00:00,0.007010371,-3.924844076,4.321364391
HAT,2019-03-11 00:00:00,0.024640046,-4.82386118,5.180147114
HAT,2019-03-12 00:00:00,-0.093138703,-4.891382003,5.432106709
HAT,2019-03-13 00:00:00,-0.160103083,-3.148999841,3.912405043
HAT,2019-04-12 00:00:00,0.070240338,-4.539088665,8.399430581
HAT,2019-04-13 00:00:00,0.094635971,-3.805340186,6.880387484
HAT,2019-04-14 00:00:00,0.103701937,-3.277042851,5.694662725
HAT,2019-04-15 00:00:00,0.056879249,-2.729697559,5.194085769
HAT,2019-04-16 00:00:00,0.083669377,-2.5461436,5.044862859
HAT,2019-04-17 00:00:00,0.135328187,-2.445752429,4.352712519
HAT,2019-04-18 00:00:00,0.104733102,-2.845110162,4.772151089
HAT,2019-04-19 00:00:00,-0.06289953,-2.173338372,4.006880112
HAT,2019-04-20 00:00:00,-0.056721205,-2.519889752,4.625199453
HAT,2019-04-21 00:00:00,0.052984346,-3.656463317,7.639603078
HAT,2019-04-22 00:00:00,0.100381155,-3.884106574,8.65841678
HAT,2019-04-23 00:00:00,0.113043174,-3.014725547,6.442265352
HAT,2019-04-24 00:00:00,0.140850438,-2.48049163,4.952507626
HAT,2019-04-25 00:00:00,0.142178514,-2.43247836,4.515217451
HAT,2019-04-26 00:00:00,0.080235227,-2.708862132,4.735748973
HAT,2019-04-27 00:00:00,0.131354933,-2.76255222,5.549360114
HAT,2019-05-01 00:00:00,0.192676953,-0.684771643,0.528051267
HAT,2019-05-02 00:00:00,0.194600871,-2.413495104,3.230436184
HAT,2019-05-03 00:00:00,0.0428233,-3.247733078,4.183272314
HAT,2019-05-04 00:00:00,0.114375213,-2.486617256,3.630749808
HAT,2019-05-05 00:00:00,0.189348958,-1.702619349,2.620470432
HAT,2019-05-06 00:00:00,-0.027666105,-2.748233804,3.352010756
HAT,2019-05-08 00:00:00,0.025517211,-4.374874705,7.140673278
HAT,2019-05-09 00:00:00,0.121367997,-6.385057286,10.99454656
HAT,2019-05-10 00:00:00,0.075822592,-4.964405077,8.514101642
HAT,2019-05-11 00:00:00,0.07264279,-3.642317283,6.19827667
HAT,2019-05-13 00:00:00,0.094848548,-3.163131642,4.964389476
HAT,2019-05-14 00:00:00,0.093497063,-2.984367199,4.720725818
HAT,2019-05-16 00:00:00,0.117944198,-2.34888548,3.350236553
HAT,2019-05-17 00:00:00,0.101249321,-1.693777485,2.3784691
HAT,2019-05-18 00:00:00,0.024609115,-2.443479186,3.545887598
HAT,2019-05-19 00:00:00,0.029520166,-1.770592386,2.766411888
HAT,2019-05-20 00:00:00,0.074132383,-2.220732915,3.406644889
HAT,2019-05-21 00:00:00,0.131836326,-2.044401567,3.303305277
HAT,2019-05-22 00:00:00,0.168972261,-1.739343795,2.823801495
HAT,2019-05-23 00:00:00,0.155900761,-1.726861644,2.948955696
