Site,date,GPP.daily,GPP.daily.sd,ER.daily,ER.daily.sd,K600.daily,K600.daily.sd,warnings,errors
HAT,2019-02-23,-0.058931991,0.059067187,-5.790515437,1.865203994,5.497605574,1.762616152,overall warnings,NA
HAT,2019-02-24,-0.021926972,0.06842316,-5.746020116,1.79956412,5.278275338,1.594181296,overall warnings,NA
HAT,2019-02-25,-0.103554236,0.047322943,-3.528270714,1.023875509,4.116868605,1.052439332,overall warnings,NA
HAT,2019-02-26,-0.072517284,0.06569516,-4.514008282,1.457095324,5.606291812,1.754558426,overall warnings,NA
HAT,2019-02-27,-0.079777816,0.055664583,-4.410489479,1.459765866,5.426229363,1.789676958,overall warnings,NA
HAT,2019-02-28,-0.131765711,0.058085751,-4.842232332,1.486955932,5.923463762,1.765505305,overall warnings,NA
HAT,2019-03-01,-0.048313066,0.059967999,-2.95497501,1.176195444,3.258116065,1.292308984,overall warnings,NA
HAT,2019-03-02,0.014534896,0.052786824,-1.128912665,0.559585523,0.89471882,0.499414178,overall warnings,NA
HAT,2019-03-03,0.017523982,0.061776125,-8.428335438,2.264157476,6.517897587,1.734335818,overall warnings,NA
HAT,2019-03-04,-0.042884265,0.053110224,-7.465367116,2.479665042,5.789579311,1.84921773,overall warnings,NA
HAT,2019-03-05,-0.01154055,0.044032827,-2.288364885,1.040470498,2.549802851,0.905656832,overall warnings,NA
HAT,2019-03-06,0.001746888,0.049472615,-3.992750183,0.902339763,4.917202139,1.00803207,overall warnings,NA
HAT,2019-03-07,0.046581031,0.054556934,-4.830887008,0.878044255,6.436313256,1.161123414,overall warnings,NA
HAT,2019-03-08,0.06275291,0.059213468,-4.955975807,1.0396963,6.480556719,1.397634764,overall warnings,NA
HAT,2019-03-09,0.089635879,0.068902854,-5.084614809,1.304741436,6.23170597,1.651357442,overall warnings,NA
HAT,2019-03-10,0.026754933,0.058912077,-4.670977759,1.373589453,5.173712414,1.572777526,overall warnings,NA
HAT,2019-03-11,0.044798174,0.060597499,-5.852713332,1.600173208,6.294506008,1.733101396,overall warnings,NA
HAT,2019-03-12,-0.097111302,0.052909771,-5.31050374,1.691483909,5.889516662,1.805088094,overall warnings,NA
HAT,2019-03-13,-0.165398561,0.059408675,-3.89801468,1.451347817,4.779614314,1.66743134,overall warnings,NA
HAT,2019-03-14,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-03-15,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-03-16,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-03-17,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-03-18,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-03-19,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-03-20,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-03-21,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-03-22,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-03-23,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-03-24,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-03-25,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-03-26,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-03-27,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-03-28,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-03-29,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-03-30,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-03-31,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-04-01,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-04-02,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-04-03,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-04-04,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-04-05,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-04-06,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-04-07,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-04-08,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-04-09,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-04-10,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-04-11,NA,NA,NA,NA,NA,NA,overall warnings,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
HAT,2019-04-12,0.082785505,0.041394076,-5.250137881,0.979032758,9.723768183,1.837903365,overall warnings,NA
HAT,2019-04-13,0.111953104,0.055256681,-4.354822389,0.938080639,7.881517821,1.712306623,overall warnings,NA
HAT,2019-04-14,0.111645795,0.062701569,-3.684034458,0.977751546,6.432343739,1.724806802,overall warnings,NA
HAT,2019-04-15,0.062379597,0.039625323,-2.92530015,0.853905373,5.556050589,1.571196162,overall warnings,NA
HAT,2019-04-16,0.078259548,0.041548319,-2.457462721,0.725344333,4.880239099,1.468574015,overall warnings,NA
HAT,2019-04-17,0.141680564,0.056377865,-2.675833178,0.820744814,4.793677263,1.559672752,overall warnings,NA
HAT,2019-04-18,0.110467797,0.043691386,-3.232374101,0.949965821,5.455253138,1.661966898,overall warnings,NA
HAT,2019-04-19,-0.049570525,0.06724642,-2.743202083,0.925764916,4.865346839,1.38174096,overall warnings,NA
HAT,2019-04-20,-0.06275223,0.048058565,-2.993529383,0.808228903,5.414220632,1.324339144,overall warnings,NA
HAT,2019-04-21,0.05835214,0.042922036,-4.158487377,0.737878096,8.688998454,1.513044494,overall warnings,NA
HAT,2019-04-22,0.110031808,0.046156386,-4.22933992,0.760890653,9.449682096,1.704004792,overall warnings,NA
HAT,2019-04-23,0.118092746,0.048207425,-3.241880565,0.7328605,6.963700575,1.624643148,overall warnings,NA
HAT,2019-04-24,0.146107395,0.050580802,-2.615814262,0.675045149,5.246143743,1.433115352,overall warnings,NA
HAT,2019-04-25,0.156936705,0.04842004,-2.803341118,0.760263336,5.246999534,1.49379287,overall warnings,NA
HAT,2019-04-26,0.092905669,0.043644138,-3.354089831,0.993838851,5.87860384,1.75465467,overall warnings,NA
HAT,2019-04-27,0.139586224,0.041405212,-2.998492461,0.630502759,6.015992565,1.234495782,overall warnings,NA
HAT,2019-04-28,0.155885707,0.043819624,-2.214458873,0.584229431,4.290019761,1.227677838,overall warnings,NA
HAT,2019-04-29,0.162110633,0.0424721,-2.97824486,0.795403558,4.983522397,1.424560144,overall warnings,NA
HAT,2019-04-30,0.115070446,0.045084645,-3.267193331,0.975115424,4.900798357,1.532989869,overall warnings,NA
